participant_number,game_group,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt,group_id,group_label,bm_pred,nm_pred
50,⊤⊤,5.0,3.0,0.0,8.0,0.375,3.661980033,7.069700003,G4,G4: neither diagnostic,Low,Low
51,⊥⊥,4.0,4.0,0.0,8.0,0.5,2.3352874515,3.010256052,G1,G1: both diagnostic,High,High
51,⊥⊤,5.0,3.0,0.0,8.0,0.375,3.1711672545000003,4.386038065,G2,G2: BM-only diagnostic,High,Low
51,⊤⊥,3.0,5.0,0.0,8.0,0.625,2.7154234644999997,4.369725943,G3,G3: NM-only diagnostic,Low,High
51,⊤⊤,4.0,4.0,0.0,8.0,0.5,2.221573234,4.4252175094999995,G4,G4: neither diagnostic,Low,Low
52,⊥⊥,5.0,3.0,0.0,8.0,0.375,6.345824718499999,7.779765844,G1,G1: both diagnostic,High,High
52,⊥⊤,4.0,4.0,0.0,8.0,0.5,6.6322734355,8.7462570665,G2,G2: BM-only diagnostic,High,Low
52,⊤⊥,5.0,3.0,0.0,8.0,0.375,6.2540330885,8.914168596,G3,G3: NM-only diagnostic,Low,High
52,⊤⊤,4.0,4.0,0.0,8.0,0.5,5.9256148335,9.1499221305,G4,G4: neither diagnostic,Low,Low
53,⊥⊥,1.0,7.0,0.0,8.0,0.875,3.841609359,6.432958126,G1,G1: both diagnostic,High,High
53,⊥⊤,5.0,3.0,0.0,8.0,0.375,3.3286726475000004,4.386038065,G2,G2: BM-only diagnostic,High,Low
53,⊤⊥,3.0,5.0,0.0,8.0,0.625,3.956330061,6.242425919,G3,G3: NM-only diagnostic,Low,High
53,⊤⊤,7.0,1.0,0.0,8.0,0.125,2.588761926,4.054323196,G4,G4: neither diagnostic,Low,Low
54,⊥⊥,3.0,2.0,3.0,8.0,0.4,3.882240057,8.216717005,G1,G1: both diagnostic,High,High
54,⊥⊤,2.0,3.0,3.0,8.0,0.6,1.542649031,4.805613756,G2,G2: BM-only diagnostic,High,Low
54,⊤⊥,5.0,2.0,1.0,8.0,0.2857142857142857,3.698695421,6.1780084375,G3,G3: NM-only diagnostic,Low,High
54,⊤⊤,3.0,4.0,1.0,8.0,0.5714285714285714,2.671589613,7.962545395,G4,G4: neither diagnostic,Low,Low
